State,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52
"(0, 0)",-72304.67689504691,-70706.62857650594,-66227.40305068821,-60019.22723614386,-53656.639593174645,-54908.161154810296,-65952.10894256909,-71776.19365296798,-75216.95728367518,-75926.1825632951,-76016.55725299763,-76019.74659442969,-76017.10906700624,-76001.30523966954,-75933.63268018374,-75985.11340848342,-75827.48881774713,-75787.86234742562,-75613.2463130639,-75381.48872571153,-73887.15158820506,-64027.34949671668,-50681.27928500001
"(0, 4)",-72145.77945347661,-70559.6269876505,-65803.88692559449,-59074.44170951827,-53157.53495704075,-54311.33683277768,-65121.33443561183,-71203.69385057787,-75093.46488721055,-75844.59608549369,-76001.65873022978,-76015.709403876,-76016.42194407855,-75984.91221420692,-75843.45058703331,-75924.52900972668,-75695.47379601406,-75228.3481169568,-75143.06138286555,-74384.33052273751,-71392.08954464414,-59376.34200154772,-40545.02342800001
"(0, 8)",-72099.86535168716,-70448.58965432599,-65694.51744798337,-58123.132133752755,-52250.397786910406,-53076.17889653393,-64092.71415552552,-70505.62587429298,-74790.27657491103,-75691.05353570101,-75973.96419828643,-76013.26738485662,-76012.05047062186,-75940.91573524933,-75653.09599242017,-75739.0765445667,-75317.10365517666,-74641.78799993404,-74562.39862454773,-72149.59829017874,-66718.53497346566,-52613.61453617045,-22806.575678250003
"(0, 12)",-71977.72987984354,-70342.20172792704,-65290.187370809545,-57402.224467104796,-51452.74979144594,-51041.158159325714,-61760.75712397736,-68604.47883873907,-73811.29426541143,-75378.95215252198,-75906.20621594816,-75979.11539805408,-75973.214791701,-75863.32481607849,-75354.50512082598,-75339.41360219149,-74212.18232324248,-73034.99510061186,-71711.57196336033,-65705.52470975943,-52656.1177406883,-35704.184092371914,0.0
"(0, 16)",-71683.85194710689,-69915.26218282626,-63965.983572039026,-55093.114963641885,-48259.48577209241,-49513.993614871826,-59382.991414298405,-67185.67495163823,-72840.41275945985,-75000.66105307204,-75794.87384624394,-75911.36233850587,-75897.59525114877,-75513.49026712714,-74691.71612074906,-74503.10719584656,-72398.51601146618,-70818.10810985048,-66596.56240711085,-57266.45997705112,-41735.61838828455,-20441.449311616674,0.0
"(0, 20)",-71036.50590310953,-68807.3498336878,-62283.07980751731,-51013.27545768646,-44060.721772664394,-46598.27036339032,-56609.51903471497,-65220.085947774736,-71992.56017509407,-74457.75841288087,-75555.04791411936,-75768.78716037382,-75675.14784725397,-75108.82713166466,-73644.48685885937,-72835.5085156718,-69623.37953940475,-65634.22121562653,-59128.63568604971,-41750.19155016215,-25099.514983940964,-7602.19189275,0.0
"(9, 0)",-68412.0830798201,-63060.908424225534,-53699.68478833115,-42199.00250130938,-37892.90979727707,-41978.74829473017,-55922.606088929046,-65461.20092327609,-72923.15722472328,-75010.17100730397,-75963.44641423147,-75993.42573448094,-75975.98837736486,-75874.72092814618,-75491.79453990204,-75536.97396255977,-74732.44705172995,-73807.63702142985,-72919.74284082012,-68244.75190693529,-56959.95254439576,-34547.738712608356,0.0
"(9, 4)",-65745.86187365794,-60511.569067446035,-51752.26540614144,-41304.53762816465,-36999.452094545835,-41143.434289293175,-54581.49603363033,-64491.057794002394,-72547.24415624222,-74795.42118424052,-75872.00637187206,-75937.60607610001,-75909.04868602195,-75680.19809354079,-75090.1858691737,-74976.90321924252,-73429.69658500669,-71597.9468503222,-69079.33954413021,-61760.19413494615,-47417.15688608218,-23144.450873483354,0.0
"(9, 8)",-65559.87637512622,-59835.92368197956,-50333.996853559016,-39974.688517785165,-35877.69768230237,-39761.75475588672,-53021.21348835023,-63146.634632241185,-71431.72493858552,-74446.83237804589,-75748.93343169727,-75854.72565420097,-75821.58338946676,-75213.53754593348,-74182.97572471047,-73550.78186276798,-70919.6410910612,-68227.38854453742,-62385.0679476054,-49989.54011753701,-30400.85041482626,-4561.31513565,0.0
"(9, 12)",-65301.39914816031,-59474.107316231726,-49070.567231231726,-37874.95798468254,-33678.03393929851,-37315.21728421121,-49832.65436727015,-60537.346571422895,-69685.11272903346,-73656.95440162692,-75301.2813826238,-75600.75407908,-75383.98916911293,-74616.48689733112,-72912.68243527606,-71645.98091239038,-67484.3352273111,-62052.629946729074,-53474.82638387595,-36659.615769838,-16037.809267075576,0.0,0.0
"(9, 16)",-64967.75228217299,-57674.78774636108,-46546.75399553419,-35376.176484031,-31308.36632301868,-35903.10491908956,-47721.45067340178,-58096.315420554536,-68313.74899538312,-72446.4237304104,-74818.64239187122,-75124.32804360542,-74700.05205881121,-73552.16146897232,-70823.61670175512,-68709.69886361099,-61892.95685661956,-53751.20115777317,-39403.66144264052,-21498.414963110394,-1672.4822164050008,0.0,0.0
"(9, 20)",-63510.76551841885,-55979.29062058897,-43821.185103941425,-32059.149315974195,-28784.890957821637,-32935.767923885855,-44779.848008619956,-55404.475063370985,-66445.63412020257,-71263.14838144231,-73996.65744259136,-74421.10420512198,-73845.18681649963,-71910.914580339,-67783.55982298355,-64001.3761393733,-54959.62261930496,-43813.3073458628,-27443.675079410346,-9126.38444013594,0.0,0.0,0.0
"(18, 0)",-56007.455032717575,-46918.942904618874,-34280.28130807036,-26398.12512681358,-24065.95848923027,-27963.612584208975,-40406.998397761614,-53622.37744226272,-66824.7213224989,-72268.52313139083,-75663.90691136777,-75740.17814963768,-75676.69529802012,-75150.95877237382,-73859.02940650201,-72952.67996556043,-70226.23184629172,-65897.30888997755,-60001.213263879334,-44349.53309162532,-25129.46764547918,0.0,0.0
"(18, 4)",-54488.499520435136,-45320.1708537636,-33684.241353974096,-26003.928755727004,-23759.01769886602,-27571.315386575377,-39487.79334782964,-51870.7097949729,-66252.23814262441,-71280.92612579632,-75272.51776629321,-75455.32789092521,-75080.68133297165,-74276.52495899798,-71797.78204765529,-70325.61682418623,-63719.95305856279,-56977.10446844041,-45137.5110299587,-28973.7551005563,-6920.810249029447,0.0,0.0
"(18, 8)",-54364.65729150937,-44253.84140982139,-32595.59168930922,-25043.48006900997,-22734.50972985119,-26362.222640697073,-37964.55040925061,-50325.92642106503,-64769.46688110531,-70305.94460570354,-74670.49422324919,-75012.83056676747,-74203.908757187,-72646.37899847093,-68881.33456022442,-65552.92602855581,-57568.7368993192,-48055.174082748286,-31724.191252391283,-13491.198585202643,0.0,0.0,0.0
"(18, 12)",-53991.12242244779,-44038.30027135056,-30751.311414822572,-23341.570031014926,-21506.934039960746,-24530.430261851474,-35252.00539125139,-47541.68784381588,-62123.8703427338,-68850.81824965855,-73161.5125442761,-73781.10519509985,-73065.00999720473,-70524.28697283282,-65776.87912159876,-60600.8282285024,-49697.6015939148,-36858.062877336146,-19676.45116446332,-5451.05314976445,0.0,0.0,0.0
"(18, 16)",-52085.47003290817,-40951.16320700389,-28867.776566872923,-21968.37567699506,-20151.112954742865,-23203.722117652364,-33195.32431742186,-44216.033243831786,-59371.0592124336,-66908.50756741143,-71711.21525712883,-72347.78954143645,-70969.01978945936,-67559.21211875795,-60650.59378562034,-53557.696354076514,-38854.92832232809,-23838.44315606736,-8426.637047555247,-55.74940721350003,0.0,0.0,0.0
"(18, 20)",-50922.39858382531,-39297.04998395497,-27756.199176297047,-19968.79470013029,-18105.57473670632,-20786.994218961478,-30289.874977929034,-41203.624407389936,-56469.824250199534,-64195.13733665336,-69718.01077792431,-70469.43238029646,-68485.57143101466,-63751.35621249099,-54377.395621097916,-43586.66464915789,-28185.478180029644,-13287.204039887698,-2891.6047472355294,0.0,0.0,0.0,0.0
"(27, 0)",-40086.817658299726,-29596.233162687313,-20971.466043587192,-15592.37698071867,-13637.27371551001,-15389.980332733725,-24343.45300299186,-36834.202733411796,-55319.45889809965,-68426.87537065391,-74164.36778911178,-74630.2154668108,-74286.3847801143,-72467.60593772706,-67944.50880448868,-64589.905143370204,-57389.15611014938,-43817.54378871473,-28121.12013777292,-12100.343137735556,0.0,0.0,0.0
"(27, 4)",-38973.34401492201,-29088.982060297152,-20609.328501724296,-15072.774943387785,-13291.805205920555,-14946.846844093885,-23658.414620330506,-35576.02171913774,-53864.80633327726,-65961.1128870702,-73077.08545907745,-73544.99950614285,-72607.94706535927,-69686.02507934802,-64019.39718669469,-56397.91783601186,-43670.12733594237,-29628.011524663656,-12338.756291095262,-724.7422937755003,0.0,0.0,0.0
"(27, 8)",-38327.40507649457,-28488.136555900008,-19848.257890981753,-14611.133755075944,-12643.370996721218,-14172.491391855649,-22413.687696588324,-33367.62875904768,-51998.73744876042,-64086.245688524614,-70886.56842977056,-71606.38973849508,-69582.93248600341,-65204.95723055824,-56750.704200616,-46700.6946054597,-32685.17146342155,-17844.800459911243,-5055.989449263852,0.0,0.0,0.0,0.0
"(27, 12)",-37835.01295050096,-28116.95978623425,-18473.254891764187,-13451.743469051262,-11878.417236948815,-13418.524892603364,-20356.218721849127,-31258.275211478674,-47954.34649778379,-60797.913966944434,-67719.89419447015,-68475.9513023085,-66314.90663636009,-60440.73365580174,-50978.31703539665,-37519.166460940105,-21187.556447421222,-8314.64126219127,-273.17209534615006,0.0,0.0,0.0,0.0
"(27, 16)",-35550.608022228735,-25310.872514487568,-17374.70053195225,-12496.08843243113,-10937.411523082234,-12167.480745097386,-19042.293431918686,-28718.549090606313,-45387.67624160738,-57561.19241220672,-64021.99360459125,-65208.81678611269,-61823.89040004019,-54289.90727477025,-41335.0586973291,-27636.568500408106,-13195.714211067161,-2824.069961221384,0.0,0.0,0.0,0.0,0.0
"(27, 20)",-33994.30581993242,-24855.99794255657,-17342.845364064913,-11473.466047746191,-9777.536070611757,-10883.36925452054,-16872.024888329193,-25578.70179226408,-41965.40606556227,-52715.70947176469,-60009.08492535949,-60892.05670228139,-56597.83517392014,-47592.84437057238,-32010.692424803514,-18141.892072762905,-6003.621726850974,-146.2492782567483,0.0,0.0,0.0,0.0,0.0
"(36, 0)",-24485.923047014487,-17649.431156735427,-11784.803924889371,-6990.550867736159,-5644.510811625523,-6315.3208425104,-9406.05865978382,-16899.981846253202,-34027.04028243795,-53069.117078949035,-67395.0568037986,-70955.10306688948,-69397.73429308573,-64424.62057663328,-54971.705414946744,-45414.36855762285,-29507.188120069553,-13263.589634038015,-1880.6133366687354,0.0,0.0,0.0,0.0
"(36, 4)",-24061.403693216653,-17327.833372761073,-11414.967086117746,-6819.442886559119,-5544.719361432812,-6013.91089300493,-8194.120365107125,-16595.87345090716,-32572.25785027887,-50833.050173769174,-64000.94412275664,-68061.82006318135,-65685.04405793632,-59226.75820721859,-45639.96846934642,-30229.502942106625,-15959.174033275294,-4657.954152281196,-5.574940721350003,0.0,0.0,0.0,0.0
"(36, 8)",-23837.657141170523,-17276.270448491374,-11028.237917140703,-6485.734327229488,-5263.808545011364,-5698.936316767632,-8186.522651865729,-15248.276847568433,-31865.654079463202,-47613.42297578852,-60636.83776853077,-63093.34673552143,-58674.596308610446,-50240.5715767706,-35929.17344452346,-20814.10584751679,-8330.64511384916,-1133.6584601507993,0.0,0.0,0.0,0.0,0.0
"(36, 12)",-23234.07700488332,-16687.429438704763,-10169.886751533058,-6065.2132992864945,-4896.959489859453,-5226.028149707504,-7675.1731684002125,-13887.5154433194,-27648.841111458176,-43347.11141053455,-54269.18000375072,-57093.094971652106,-52459.13217714361,-41939.62085823673,-26311.593074286066,-12359.317039630996,-2795.74914044801,-2.0441449311616675,0.0,0.0,0.0,0.0,0.0
"(36, 16)",-20963.232387095817,-15176.705525495498,-9432.482314858928,-5564.87871563152,-4472.563126330105,-4811.425462390275,-6984.597787986253,-12506.447079051879,-26397.741925430295,-39099.53705993607,-49993.94749624205,-51230.71444440859,-44926.77663120466,-33462.09643934208,-17731.990574125517,-5976.77095132715,-614.841934917192,0.0,0.0,0.0,0.0,0.0,0.0
"(36, 20)",-20422.951887251143,-14376.648519295215,-9432.482314858928,-5150.45447006256,-3967.182456366941,-4241.430156227945,-6154.70864476223,-10488.916055744297,-22534.18193910926,-34676.312499327316,-43344.092041341115,-44228.86778095404,-36834.25010891414,-24801.58153673817,-9463.710073758288,-2110.9193688051605,-20.181285411286996,0.0,0.0,0.0,0.0,0.0,0.0
"(45, 0)",-14313.888779095678,-9553.505029770247,-5184.886873550643,-2247.941264542298,-1591.5822459474837,-2057.250346492379,-2190.2977959669183,-5475.744489917295,-16427.23346975188,-26006.29128200531,-52012.582564010605,-58515.49777105332,-55187.24432516753,-49242.0271887759,-32740.8477816024,-17302.682515127177,-5780.345552635492,-101.09225841381333,0.0,0.0,0.0,0.0,0.0
"(45, 4)",-14059.896613976434,-9273.313898000792,-5082.674090826835,-2298.766427660378,-1466.1937366858504,-1853.1485301114792,-2074.361312992352,-5185.903282480879,-15340.328941865324,-25610.269136315816,-48052.3611071157,-54657.63110167957,-48053.09452975548,-38184.081668029525,-20783.920704192595,-8125.400765894929,-1343.0822172185558,0.0,0.0,0.0,0.0,0.0,0.0
